00161, 2014-276T19:28:21.837, 2014-276T21:01:09.204,  -29.239, GOOD / High SNR
00162, 2014-276T21:01:09.204, 2014-276T22:33:56.586,  -52.820, GOOD / High SNR
00163, 2014-276T22:33:56.586, 2014-277T00:06:44.028,  -76.402, GOOD / High SNR
00164, 2014-277T00:06:44.028, 2014-277T01:39:31.475,  -99.986, GOOD / High SNR
00165, 2014-277T01:39:31.475, 2014-277T03:12:18.884, -123.568, GOOD / High SNR
00166, 2014-277T03:12:18.884, 2014-277T04:45:06.253, -147.148, GOOD / High SNR
00167, 2014-277T04:45:06.253, 2014-277T06:17:53.602, -170.728, GOOD / High SNR
00168, 2014-277T06:17:53.602, 2014-277T07:50:40.985,  165.693, GOOD / High SNR
00169, 2014-277T07:50:40.985, 2014-277T09:23:28.377,  142.114, GOOD / High SNR
00170, 2014-277T09:23:28.377, 2014-277T10:56:15.683,  118.533, GOOD / High SNR
00171, 2014-277T10:56:15.683, 2014-277T12:29:03.050,   94.954, GOOD / High SNR
00172, 2014-277T12:29:03.050, 2014-277T14:01:50.464,   71.373, GOOD / High SNR
00173, 2014-277T14:01:50.464, 2014-277T15:34:37.847,   47.792, GOOD / High SNR
00174, 2014-277T15:34:37.847, 2014-277T17:07:25.212,   24.212, GOOD / High SNR
00175, 2014-277T17:07:25.212, 2014-277T18:40:12.513,    0.632, GOOD / High SNR
00176, 2014-277T18:40:12.513, 2014-277T20:12:59.772,  -22.948, GOOD / High SNR
00177, 2014-277T20:12:59.772, 2014-277T21:45:47.025,  -46.528, GOOD / High SNR
00178, 2014-277T21:45:47.025, 2014-277T23:18:34.329,  -70.109, GOOD / High SNR
00179, 2014-277T23:18:34.329, 2014-278T00:51:21.671,  -93.692, GOOD / High SNR
00180, 2014-278T00:51:21.671, 2014-278T02:24:08.968, -117.274, GOOD / High SNR
00181, 2014-278T02:24:08.968, 2014-278T03:56:56.226, -140.854, GOOD / High SNR
00182, 2014-278T03:56:56.226, 2014-278T05:29:43.453, -164.433, GOOD / High SNR
00183, 2014-278T05:29:43.453, 2014-278T07:02:30.708,  171.988, GOOD / High SNR
00184, 2014-278T07:02:30.708, 2014-278T08:35:17.989,  148.409, GOOD / High SNR
00185, 2014-278T08:35:17.989, 2014-278T10:08:05.205,  124.829, GOOD / High SNR
00186, 2014-278T10:08:05.205, 2014-278T11:40:52.425,  101.250, GOOD / High SNR
00187, 2014-278T11:40:52.425, 2014-278T13:13:39.727,   77.671, GOOD / High SNR
00188, 2014-278T13:13:39.727, 2014-278T14:46:27.007,   54.090, GOOD / High SNR
00189, 2014-278T14:46:27.007, 2014-278T16:19:14.257,   30.510, GOOD / High SNR
00190, 2014-278T16:19:14.257, 2014-278T17:52:01.468,    6.930, GOOD / High SNR
00191, 2014-278T17:52:01.468, 2014-278T19:24:48.626,  -16.649, GOOD / High SNR
00192, 2014-278T19:24:48.626, 2014-278T20:57:35.767,  -40.228, GOOD / High SNR
00193, 2014-278T20:57:35.767, 2014-278T22:30:22.941,  -63.809, GOOD / High SNR
00194, 2014-278T22:30:22.941, 2014-279T00:03:10.178,  -87.391, GOOD / High SNR
00195, 2014-279T00:03:10.178, 2014-279T01:35:57.381, -110.973, GOOD / High SNR
00196, 2014-279T01:35:57.381, 2014-279T03:08:44.548, -134.553, GOOD / High SNR
00197, 2014-279T03:08:44.548, 2014-279T04:41:31.669, -158.132, GOOD / High SNR
00198, 2014-279T04:41:31.669, 2014-279T06:14:18.808,  178.290, GOOD / High SNR
00199, 2014-279T06:14:18.808, 2014-279T07:47:05.984,  154.711, GOOD / High SNR
00200, 2014-279T07:47:05.984, 2014-279T09:19:53.117,  131.132, GOOD / High SNR
00201, 2014-279T09:19:53.117, 2014-279T10:52:40.202,  107.553, GOOD / High SNR
00202, 2014-279T10:52:40.202, 2014-279T12:25:27.392,   83.974, GOOD / High SNR
00203, 2014-279T12:25:27.392, 2014-279T13:58:14.581,   60.394, GOOD / High SNR
00204, 2014-279T13:58:14.581, 2014-279T15:31:01.728,   36.814, BAD / Poor attitude estimation / High SNR
00205, 2014-279T15:31:01.728, 2014-279T17:03:48.859,   13.235, BAD / No data or processor fail
00206, 2014-279T17:03:48.859, 2014-279T18:36:35.921,  -10.344, BAD / No data or processor fail
00207, 2014-279T18:36:35.921, 2014-279T20:09:22.955,  -33.923, BAD / No data or processor fail
00208, 2014-279T20:09:22.955, 2014-279T21:42:10.012,  -57.502, BAD / No data or processor fail
00209, 2014-279T21:42:10.012, 2014-279T23:14:57.140,  -81.084, BAD / No data or processor fail
00210, 2014-279T23:14:57.140, 2014-280T00:47:44.249, -104.666, BAD / No data or processor fail
00211, 2014-280T00:47:44.249, 2014-280T02:20:31.326, -128.246, BAD / No data or processor fail
00212, 2014-280T02:20:31.326, 2014-280T03:53:18.355, -151.825, BAD / No data or processor fail
00213, 2014-280T03:53:18.355, 2014-280T05:26:05.384, -175.403, BAD / No data or processor fail
00214, 2014-280T05:26:05.384, 2014-280T06:58:52.449,  161.020, BAD / No data or processor fail
00215, 2014-280T06:58:52.449, 2014-280T08:31:39.505,  137.441, BAD / No data or processor fail
00216, 2014-280T08:31:39.505, 2014-280T10:04:26.481,  113.862, BAD / No data or processor fail
00217, 2014-280T10:04:26.481, 2014-280T11:37:13.545,   90.284, BAD / No data or processor fail
00218, 2014-280T11:37:13.545, 2014-280T13:10:00.635,   66.704, BAD / No data or processor fail
00219, 2014-280T13:10:00.635, 2014-280T14:42:47.687,   43.124, BAD / No data or processor fail
00220, 2014-280T14:42:47.687, 2014-280T16:15:34.725,   19.546, BAD / No data or processor fail
00221, 2014-280T16:15:34.725, 2014-280T17:48:21.692,   -4.033, BAD / No data or processor fail
